sex,age,state,category,product,price,quantity,purchase_date,total
female,79,ireland,computing,mice,9.00,8,2017-11-22,72
female,55,netherland,computing,mice,9.00,7,2019-04-28,63
female,77,nigeria,fashion,maternity,165.00,1,2016-01-12,165
male,37,nigeria,health,drinks,7.00,7,2018-09-06,49
male,62,america,fashion,jewellery,135.80,8,2016-03-07,1086.4
female,75,netherland,gaming,cod,45.00,3,2019-03-20,135
male,68,colombia,health,vitamins,35.00,5,2016-04-04,175
female,36,colombia,appliances,freezers,120.00,10,2018-05-01,1200
male,56,nigeria,appliances,kettles,55.99,4,2017-05-05,223.96
male,27,america,health,condoms,12.50,6,2019-11-16,75
male,41,france,computing,scanners,170.00,9,2018-05-02,1530
female,31,colombia,appliances,lighting,100.00,6,2016-01-09,600
female,62,ireland,gaming,fifa,35.00,6,2018-05-01,210
male,16,netherland,computing,servers,250.00,7,2019-12-11,1750
female,55,france,appliances,lighting,100.00,8,2017-02-05,800
female,62,ireland,gaming,battlefield,40.00,5,2019-05-10,200
female,37,france,gaming,battlefield,40.00,8,2018-12-30,320
female,24,netherland,gaming,pes,35.00,3,2019-11-26,105
female,36,ireland,grocery,water,3.00,7,2019-02-01,21
female,27,netherland,grocery,juice,10.00,7,2016-05-19,70
male,16,netherland,computing,keyboards,40.00,5,2018-10-08,200
female,72,colombia,grocery,noodles,13.00,2,2018-01-15,26
female,62,colombia,gaming,fifa,35.00,2,2017-02-15,70
female,50,ireland,fashion,shoes,75.99,8,2018-05-31,607.92
male,60,spain,fashion,swimwear,75.35,6,2018-11-24,452.1
female,63,france,computing,scanners,170.00,1,2017-04-11,170
female,63,ireland,fashion,wallet,17.35,1,2018-03-16,17.35
male,44,colombia,appliances,dryers,56.99,9,2017-07-17,512.91
male,24,ireland,appliances,dishwashers,90.00,2,2017-01-11,180
male,26,france,grocery,rice,85.00,1,2016-07-17,85
female,23,netherland,computing,keyboards,40.00,6,2018-03-17,240
female,63,america,grocery,water,3.00,10,2018-02-26,30
female,75,ireland,fashion,maternity,165.00,9,2016-09-15,1485
male,28,colombia,gaming,cod,45.00,9,2017-06-26,405
male,41,ireland,gaming,gta,35.00,5,2018-08-13,175
female,50,colombia,health,supplements,40.00,2,2017-01-06,80
male,20,ireland,health,pastes,27.50,1,2019-11-22,27.5
male,27,netherland,appliances,freezers,120.00,9,2019-03-28,1080
female,69,america,fashion,wallet,17.35,1,2016-05-22,17.35
female,57,colombia,computing,ups,140.35,5,2017-08-13,701.75
male,22,ireland,gaming,cod,45.00,10,2019-03-11,450
female,48,netherland,health,pastes,27.50,8,2016-06-25,220
female,70,spain,grocery,water,3.00,1,2017-04-29,3
female,40,france,grocery,coffee,12.50,3,2016-08-14,37.5
male,37,america,gaming,battlefield,40.00,2,2019-12-09,80
male,40,america,computing,keyboards,40.00,8,2018-12-02,320
male,79,spain,fashion,wallet,17.35,2,2017-06-20,34.7
male,22,america,appliances,dishwashers,90.00,5,2018-11-06,450
female,52,france,health,condoms,12.50,2,2016-10-22,25
male,21,colombia,grocery,juice,10.00,6,2018-09-02,60
female,78,netherland,health,pastes,27.50,1,2017-03-06,27.5
male,59,america,gaming,fallout,99.99,6,2018-01-10,599.94
male,72,netherland,fashion,maternity,165.00,5,2018-01-31,825
female,58,ireland,gaming,battlefield,40.00,5,2017-03-15,200
female,51,spain,appliances,kettles,55.99,4,2016-05-31,223.96
male,32,nigeria,computing,servers,250.00,1,2019-05-23,250
male,35,nigeria,computing,ups,140.35,8,2019-11-11,1122.8
female,17,netherland,health,condoms,12.50,5,2018-12-25,62.5
female,80,france,grocery,juice,10.00,4,2016-10-06,40
male,64,netherland,computing,monitors,95.00,4,2016-06-17,380
female,36,ireland,fashion,jewellery,135.80,5,2016-03-30,679
male,53,netherland,grocery,water,3.00,2,2016-11-25,6
female,50,france,gaming,fallout,99.99,1,2018-11-29,99.99
female,67,nigeria,gaming,uncharted,30.00,2,2016-10-11,60
female,73,america,health,perfume,90.00,5,2019-08-22,450
female,67,france,gaming,fifa,35.00,8,2019-11-08,280
male,51,nigeria,fashion,wallet,17.35,6,2016-01-25,104.1
female,35,america,fashion,wallet,17.35,2,2017-02-12,34.7
female,35,america,computing,mice,9.00,6,2016-04-17,54
female,44,america,health,drinks,7.00,4,2019-09-21,28
male,27,spain,gaming,battlefield,40.00,10,2019-12-31,400
male,74,nigeria,computing,keyboards,40.00,3,2018-06-04,120
male,23,colombia,appliances,kettles,55.99,1,2019-08-23,55.99
male,34,spain,grocery,noodles,13.00,5,2018-11-25,65
male,27,ireland,health,condoms,12.50,6,2017-04-03,75
male,19,america,health,condoms,12.50,7,2017-01-16,87.5
female,26,colombia,gaming,gta,35.00,2,2017-05-07,70
female,60,netherland,appliances,kettles,55.99,10,2019-12-16,559.9
male,27,ireland,appliances,freezers,120.00,5,2016-11-07,600
male,58,ireland,fashion,bag,65.99,1,2017-03-16,65.99
male,51,france,health,supplements,40.00,4,2016-07-26,160
male,73,spain,gaming,uncharted,30.00,7,2019-09-13,210
male,69,america,gaming,fallout,99.99,2,2019-09-12,199.98
female,29,nigeria,appliances,kettles,55.99,9,2019-10-28,503.91
male,26,spain,grocery,juice,10.00,3,2017-09-26,30
male,63,america,grocery,pasta,8.00,9,2019-07-04,72
male,19,spain,appliances,lighting,100.00,10,2019-12-11,1000
male,36,colombia,appliances,kettles,55.99,1,2017-01-01,55.99
male,22,france,gaming,fifa,35.00,9,2018-09-16,315
male,70,ireland,grocery,noodles,13.00,1,2016-07-03,13
male,25,netherland,appliances,kettles,55.99,5,2017-11-21,279.95
female,38,nigeria,grocery,water,3.00,4,2017-04-09,12
male,72,spain,gaming,pes,35.00,3,2018-02-12,105
male,68,nigeria,grocery,coffee,12.50,5,2019-06-15,62.5
female,47,spain,computing,ups,140.35,10,2016-07-05,1403.5
female,25,nigeria,grocery,juice,10.00,2,2018-03-27,20
female,50,france,health,perfume,90.00,5,2019-11-17,450
female,35,spain,grocery,juice,10.00,10,2019-07-14,100
male,60,america,computing,scanners,170.00,3,2019-09-17,510
male,48,america,health,supplements,40.00,8,2019-10-21,320
female,30,america,health,vitamins,35.00,10,2016-01-10,350
female,35,colombia,appliances,dryers,56.99,8,2019-10-16,455.92
male,45,nigeria,gaming,fallout,99.99,5,2019-09-15,499.95
male,55,colombia,gaming,cod,45.00,3,2018-08-30,135
male,64,netherland,grocery,water,3.00,6,2016-08-07,18
female,77,ireland,health,supplements,40.00,4,2016-06-09,160
female,71,spain,fashion,shoes,75.99,9,2017-04-07,683.91
male,36,america,health,drinks,7.00,10,2016-06-03,70
male,79,netherland,grocery,rice,85.00,2,2016-12-21,170
male,49,ireland,health,condoms,12.50,5,2016-04-07,62.5
female,72,ireland,appliances,dryers,56.99,5,2019-01-13,284.95
male,61,netherland,gaming,battlefield,40.00,7,2019-07-03,280
male,27,nigeria,appliances,kettles,55.99,3,2016-06-07,167.97
male,34,america,appliances,lighting,100.00,7,2019-07-07,700
female,21,nigeria,gaming,cod,45.00,4,2017-03-16,180
male,34,nigeria,fashion,bag,65.99,3,2017-07-22,197.97
male,20,ireland,gaming,pes,35.00,9,2017-07-25,315
male,54,ireland,appliances,freezers,120.00,6,2017-07-21,720
male,38,colombia,gaming,cod,45.00,4,2019-11-05,180
female,58,nigeria,gaming,battlefield,40.00,4,2018-04-05,160
male,59,spain,appliances,kettles,55.99,8,2017-04-25,447.92
male,66,france,health,perfume,90.00,7,2016-12-26,630
male,19,ireland,health,supplements,40.00,5,2016-01-16,200
female,50,ireland,gaming,uncharted,30.00,2,2017-03-29,60
female,44,france,computing,printers,135.50,2,2018-01-23,271
male,80,ireland,appliances,dryers,56.99,2,2017-08-06,113.98
male,31,netherland,appliances,dishwashers,90.00,2,2016-09-01,180
male,72,ireland,appliances,dryers,56.99,10,2016-01-07,569.9
female,69,colombia,fashion,swimwear,75.35,10,2019-10-30,753.5
female,50,ireland,fashion,maternity,165.00,7,2018-04-21,1155
female,24,america,computing,mice,9.00,7,2016-11-12,63
female,25,netherland,gaming,pes,35.00,3,2016-11-16,105
female,44,france,appliances,dishwashers,90.00,10,2019-12-19,900
male,54,spain,fashion,bag,65.99,5,2016-08-15,329.95
female,33,colombia,grocery,juice,10.00,7,2018-05-20,70
male,68,nigeria,gaming,uncharted,30.00,10,2016-01-18,300
male,35,colombia,health,pastes,27.50,4,2016-05-28,110
female,28,nigeria,computing,keyboards,40.00,7,2019-05-21,280
male,74,netherland,fashion,wallet,17.35,1,2017-10-01,17.35
male,48,america,gaming,battlefield,40.00,2,2019-05-01,80
female,72,france,health,pastes,27.50,5,2017-05-13,137.5
male,51,france,computing,scanners,170.00,9,2018-06-09,1530
female,16,france,computing,printers,135.50,7,2016-03-14,948.5
female,34,netherland,health,condoms,12.50,9,2017-09-28,112.5
male,23,america,gaming,uncharted,30.00,2,2018-11-08,60
female,51,colombia,computing,scanners,170.00,3,2017-02-01,510
male,35,spain,appliances,lighting,100.00,7,2018-03-22,700
female,46,america,computing,keyboards,40.00,10,2017-04-23,400
male,31,ireland,appliances,freezers,120.00,8,2016-06-12,960
female,67,nigeria,appliances,freezers,120.00,6,2017-01-16,720
male,49,nigeria,gaming,pes,35.00,5,2016-02-22,175
male,71,france,fashion,maternity,165.00,9,2019-03-25,1485
female,23,netherland,gaming,uncharted,30.00,3,2019-04-22,90
female,35,ireland,grocery,juice,10.00,4,2019-12-13,40
male,27,ireland,computing,servers,250.00,10,2018-05-26,2500
female,30,netherland,computing,monitors,95.00,9,2017-05-11,855
female,54,netherland,gaming,cod,45.00,5,2016-05-10,225
male,37,america,grocery,rice,85.00,6,2018-10-18,510
female,39,netherland,gaming,uncharted,30.00,4,2017-05-03,120
female,68,spain,gaming,fifa,35.00,4,2017-03-28,140
female,22,colombia,grocery,pasta,8.00,2,2017-08-25,16
male,43,spain,health,supplements,40.00,9,2017-05-15,360
male,62,ireland,appliances,lighting,100.00,2,2016-03-28,200
male,47,france,gaming,fifa,35.00,3,2018-02-05,105
female,33,colombia,gaming,cod,45.00,6,2017-09-27,270
male,36,colombia,gaming,cod,45.00,3,2017-06-12,135
male,80,spain,grocery,coffee,12.50,5,2017-05-20,62.5
male,16,america,gaming,cod,45.00,2,2017-05-12,90
male,68,america,health,supplements,40.00,10,2017-03-01,400
female,52,netherland,health,pastes,27.50,7,2016-04-23,192.5
female,71,america,computing,printers,135.50,7,2019-05-23,948.5
male,37,america,grocery,water,3.00,4,2016-11-10,12
male,22,france,health,perfume,90.00,9,2017-04-24,810
male,26,america,fashion,jewellery,135.80,7,2017-12-13,950.6
male,64,colombia,computing,servers,250.00,5,2018-06-01,1250
female,29,netherland,grocery,noodles,13.00,6,2016-01-25,78
female,79,netherland,health,pastes,27.50,5,2018-01-22,137.5
male,49,ireland,computing,keyboards,40.00,7,2018-05-01,280
male,38,america,health,pastes,27.50,9,2018-01-25,247.5
female,28,france,computing,monitors,95.00,4,2017-03-16,380
female,35,france,appliances,lighting,100.00,8,2017-05-26,800
female,79,america,computing,printers,135.50,2,2019-12-06,271
male,69,france,health,supplements,40.00,2,2018-02-08,80
female,63,spain,gaming,fallout,99.99,2,2016-04-03,199.98
female,76,america,fashion,jewellery,135.80,9,2016-12-09,1222.2
female,26,france,fashion,bag,65.99,6,2018-08-03,395.94
female,78,ireland,appliances,dishwashers,90.00,5,2018-12-24,450
female,54,netherland,fashion,shoes,75.99,8,2018-05-05,607.92
female,72,spain,gaming,pes,35.00,8,2016-10-18,280
female,44,spain,health,supplements,40.00,3,2017-09-24,120
female,61,france,health,pastes,27.50,9,2019-02-19,247.5
female,60,america,computing,scanners,170.00,6,2019-04-01,1020
female,41,colombia,grocery,pasta,8.00,2,2018-08-26,16
female,31,nigeria,appliances,dryers,56.99,3,2016-01-31,170.97
female,74,america,appliances,freezers,120.00,2,2016-03-21,240
female,31,colombia,fashion,swimwear,75.35,3,2019-05-31,226.05
male,26,nigeria,fashion,swimwear,75.35,4,2019-09-06,301.4
male,36,america,appliances,kettles,55.99,4,2018-02-10,223.96
male,27,spain,gaming,fifa,35.00,3,2016-01-14,105
male,50,spain,gaming,battlefield,40.00,4,2017-12-31,160
female,30,ireland,health,drinks,7.00,6,2019-10-25,42
male,62,ireland,health,supplements,40.00,1,2016-01-31,40
female,77,colombia,fashion,maternity,165.00,3,2017-01-08,495
male,57,nigeria,health,pastes,27.50,8,2019-09-12,220
male,20,spain,gaming,uncharted,30.00,5,2018-11-23,150
female,33,america,computing,servers,250.00,3,2019-12-14,750
male,54,netherland,computing,keyboards,40.00,2,2018-05-09,80
male,55,france,health,condoms,12.50,3,2019-04-18,37.5
male,68,colombia,computing,scanners,170.00,2,2019-04-22,340
male,56,colombia,health,condoms,12.50,7,2018-02-23,87.5
male,78,netherland,grocery,coffee,12.50,7,2019-06-08,87.5
female,20,colombia,grocery,water,3.00,2,2018-05-08,6
female,23,spain,appliances,dryers,56.99,9,2018-03-15,512.91
male,43,france,appliances,kettles,55.99,1,2018-10-25,55.99
male,60,france,appliances,dishwashers,90.00,4,2018-05-27,360
female,49,france,fashion,jewellery,135.80,10,2016-05-15,1358
male,65,america,grocery,juice,10.00,7,2016-03-12,70
male,35,netherland,fashion,jewellery,135.80,8,2018-05-31,1086.4
male,23,france,grocery,juice,10.00,5,2017-07-14,50
male,57,netherland,appliances,lighting,100.00,4,2019-03-24,400
female,34,colombia,appliances,freezers,120.00,1,2016-04-10,120
male,36,colombia,grocery,tea,10.00,6,2018-05-25,60
male,58,nigeria,computing,servers,250.00,8,2018-02-11,2000
female,76,spain,grocery,water,3.00,10,2018-04-23,30
female,45,france,grocery,tea,10.00,6,2017-06-23,60
female,40,spain,computing,mice,9.00,8,2017-03-02,72
male,35,netherland,health,pastes,27.50,6,2019-07-28,165
female,32,netherland,appliances,lighting,100.00,2,2019-04-26,200
male,53,netherland,gaming,uncharted,30.00,2,2018-06-05,60
female,43,spain,gaming,fallout,99.99,2,2019-04-19,199.98
female,19,france,fashion,swimwear,75.35,1,2016-05-01,75.35
male,43,nigeria,gaming,fifa,35.00,8,2018-11-27,280
male,61,spain,fashion,bag,65.99,2,2017-02-10,131.98
female,38,spain,grocery,water,3.00,1,2017-05-17,3
male,77,america,gaming,gta,35.00,8,2019-01-04,280
female,76,spain,health,supplements,40.00,2,2019-06-07,80
male,38,ireland,grocery,juice,10.00,8,2016-02-11,80
male,42,nigeria,gaming,pes,35.00,2,2019-07-26,70
male,26,colombia,fashion,wallet,17.35,8,2018-06-19,138.8
male,45,nigeria,appliances,freezers,120.00,3,2017-03-17,360
female,68,colombia,gaming,fifa,35.00,8,2018-06-23,280
male,78,colombia,gaming,fifa,35.00,9,2019-05-13,315
female,79,ireland,appliances,lighting,100.00,3,2018-05-14,300
female,26,spain,health,vitamins,35.00,5,2017-11-23,175
male,70,spain,grocery,pasta,8.00,5,2017-10-09,40
male,78,america,appliances,kettles,55.99,1,2019-11-18,55.99
male,62,france,fashion,bag,65.99,8,2018-11-20,527.92
male,46,netherland,computing,mice,9.00,6,2017-03-20,54
male,41,ireland,appliances,freezers,120.00,10,2019-03-22,1200
male,73,netherland,health,pastes,27.50,7,2017-01-19,192.5
female,58,colombia,appliances,dishwashers,90.00,3,2016-07-07,270
male,25,colombia,health,supplements,40.00,7,2019-04-19,280
male,34,netherland,health,pastes,27.50,8,2017-05-24,220
male,25,nigeria,appliances,dishwashers,90.00,9,2018-12-24,810
female,60,netherland,appliances,freezers,120.00,3,2018-07-11,360
male,80,france,fashion,shoes,75.99,8,2016-05-27,607.92
male,60,netherland,gaming,pes,35.00,1,2018-02-16,35
male,19,nigeria,grocery,tea,10.00,5,2017-12-31,50
female,20,france,gaming,battlefield,40.00,8,2018-10-18,320
male,67,ireland,gaming,fifa,35.00,1,2017-11-01,35
male,48,colombia,grocery,pasta,8.00,2,2019-02-10,16
male,76,netherland,gaming,fallout,99.99,9,2017-09-06,899.91
female,78,nigeria,computing,servers,250.00,5,2019-01-14,1250
female,20,ireland,computing,scanners,170.00,5,2017-11-09,850
female,23,spain,grocery,pasta,8.00,10,2018-02-14,80
male,66,america,computing,scanners,170.00,9,2019-07-17,1530
female,34,netherland,gaming,uncharted,30.00,3,2016-09-04,90
male,68,spain,gaming,uncharted,30.00,2,2018-01-04,60
male,30,france,fashion,jewellery,135.80,3,2016-08-29,407.4
female,59,america,fashion,jewellery,135.80,8,2017-03-23,1086.4
male,62,netherland,computing,ups,140.35,5,2019-02-24,701.75
female,71,america,appliances,freezers,120.00,5,2017-05-29,600
female,53,nigeria,computing,scanners,170.00,8,2018-12-26,1360
female,51,nigeria,appliances,lighting,100.00,1,2016-11-21,100
female,75,france,gaming,pes,35.00,8,2019-01-10,280
male,73,ireland,grocery,tea,10.00,7,2018-04-25,70
male,76,colombia,gaming,battlefield,40.00,10,2017-08-09,400
male,69,ireland,appliances,lighting,100.00,9,2016-06-10,900
male,53,spain,appliances,dishwashers,90.00,9,2019-04-23,810
female,42,nigeria,fashion,bag,65.99,5,2016-07-14,329.95
male,27,ireland,computing,ups,140.35,4,2018-05-12,561.4
male,47,netherland,computing,keyboards,40.00,8,2017-06-12,320
male,28,nigeria,fashion,jewellery,135.80,8,2017-04-24,1086.4
male,51,spain,health,supplements,40.00,9,2019-11-09,360
female,52,spain,health,condoms,12.50,6,2018-07-19,75
male,63,nigeria,appliances,freezers,120.00,2,2017-07-01,240
male,29,america,computing,keyboards,40.00,4,2019-03-28,160
female,39,ireland,gaming,pes,35.00,6,2017-06-13,210
male,44,america,computing,scanners,170.00,7,2017-07-08,1190
male,39,netherland,grocery,water,3.00,7,2017-06-21,21
male,34,netherland,gaming,fallout,99.99,6,2016-05-18,599.94
female,75,colombia,computing,servers,250.00,5,2016-11-14,1250
female,66,france,grocery,coffee,12.50,10,2017-09-26,125
female,29,ireland,gaming,cod,45.00,2,2019-10-17,90
male,49,france,grocery,coffee,12.50,5,2017-07-07,62.5
male,43,ireland,grocery,tea,10.00,4,2019-12-17,40
female,16,france,computing,printers,135.50,1,2016-04-26,135.5
female,68,france,fashion,shoes,75.99,5,2017-09-03,379.95
male,61,america,gaming,gta,35.00,6,2016-12-30,210
female,40,colombia,fashion,bag,65.99,2,2018-04-06,131.98
female,20,ireland,appliances,kettles,55.99,9,2018-06-16,503.91
female,72,nigeria,fashion,wallet,17.35,9,2019-11-02,156.15
female,31,colombia,computing,servers,250.00,9,2016-06-06,2250
female,50,america,health,pastes,27.50,3,2018-06-19,82.5
male,76,france,computing,monitors,95.00,1,2016-06-14,95
female,69,spain,appliances,freezers,120.00,2,2016-04-19,240
male,35,america,appliances,dryers,56.99,2,2018-02-04,113.98
female,54,netherland,grocery,coffee,12.50,3,2018-10-07,37.5
female,62,spain,computing,printers,135.50,7,2016-02-23,948.5
male,24,america,health,condoms,12.50,5,2019-07-18,62.5
female,48,spain,grocery,rice,85.00,4,2018-08-28,340
male,29,nigeria,fashion,jewellery,135.80,8,2017-07-13,1086.4
male,58,netherland,health,condoms,12.50,9,2018-05-28,112.5
male,46,ireland,health,vitamins,35.00,10,2016-08-03,350
male,24,colombia,health,supplements,40.00,4,2018-10-19,160
male,74,spain,gaming,fallout,99.99,1,2017-01-10,99.99
female,55,colombia,fashion,swimwear,75.35,8,2019-03-24,602.8
female,63,france,fashion,maternity,165.00,7,2017-08-21,1155
female,43,ireland,computing,scanners,170.00,4,2017-07-20,680
male,67,nigeria,gaming,pes,35.00,10,2019-06-01,350
female,51,nigeria,fashion,shoes,75.99,3,2019-08-10,227.97
male,23,france,computing,printers,135.50,8,2018-12-28,1084
male,23,america,fashion,jewellery,135.80,5,2019-08-14,679
male,65,france,health,perfume,90.00,9,2019-03-28,810
male,33,france,fashion,bag,65.99,2,2017-03-07,131.98
female,39,nigeria,fashion,bag,65.99,9,2017-01-28,593.91
female,27,ireland,grocery,tea,10.00,4,2019-09-22,40
female,54,nigeria,computing,ups,140.35,1,2017-04-24,140.35
male,73,ireland,health,vitamins,35.00,1,2017-06-26,35
female,51,america,fashion,wallet,17.35,7,2017-09-01,121.45
male,25,america,grocery,coffee,12.50,4,2017-09-02,50
male,61,france,health,drinks,7.00,7,2017-09-07,49
male,25,spain,gaming,uncharted,30.00,2,2019-04-24,60
male,80,nigeria,health,perfume,90.00,7,2017-08-17,630
male,32,colombia,computing,keyboards,40.00,7,2016-10-04,280
male,80,america,health,perfume,90.00,7,2018-12-06,630
female,41,nigeria,appliances,dishwashers,90.00,5,2018-08-20,450
male,35,nigeria,appliances,freezers,120.00,5,2016-10-16,600
female,57,ireland,grocery,water,3.00,8,2016-03-18,24
female,47,colombia,appliances,kettles,55.99,7,2019-10-26,391.93
female,61,netherland,computing,mice,9.00,4,2019-09-02,36
male,64,america,fashion,jewellery,135.80,2,2019-10-07,271.6
female,59,nigeria,gaming,fallout,99.99,4,2018-04-30,399.96
female,20,colombia,appliances,lighting,100.00,2,2016-06-02,200
male,21,france,appliances,lighting,100.00,6,2016-11-11,600
female,78,france,computing,keyboards,40.00,5,2018-12-13,200
male,51,spain,health,supplements,40.00,8,2016-11-06,320
female,72,france,fashion,swimwear,75.35,6,2019-07-01,452.1
female,63,france,computing,keyboards,40.00,10,2019-10-08,400
female,38,colombia,gaming,battlefield,40.00,5,2017-05-27,200
male,38,colombia,appliances,dishwashers,90.00,1,2019-03-25,90
female,70,ireland,fashion,jewellery,135.80,4,2017-05-20,543.2
female,18,spain,gaming,uncharted,30.00,10,2019-07-14,300
female,64,nigeria,gaming,fallout,99.99,2,2016-04-15,199.98
male,53,spain,computing,mice,9.00,3,2016-05-27,27
male,46,france,gaming,gta,35.00,5,2019-06-16,175
male,56,ireland,computing,scanners,170.00,9,2016-08-20,1530
female,31,ireland,fashion,jewellery,135.80,10,2016-11-18,1358
female,52,america,gaming,pes,35.00,10,2016-12-05,350
female,75,france,fashion,swimwear,75.35,9,2019-07-26,678.15
male,78,spain,fashion,wallet,17.35,7,2018-03-21,121.45
female,80,america,computing,mice,9.00,8,2017-08-26,72
male,76,colombia,appliances,dishwashers,90.00,10,2019-09-14,900
female,20,spain,appliances,dishwashers,90.00,5,2019-08-28,450
male,45,colombia,appliances,lighting,100.00,9,2016-12-23,900
male,78,ireland,grocery,noodles,13.00,2,2018-07-10,26
male,57,netherland,gaming,gta,35.00,4,2019-03-07,140
male,73,netherland,appliances,dryers,56.99,10,2018-12-31,569.9
female,29,america,health,vitamins,35.00,1,2018-08-08,35
male,50,spain,computing,monitors,95.00,8,2017-01-03,760
male,74,ireland,appliances,kettles,55.99,8,2016-04-04,447.92
male,54,nigeria,gaming,fallout,99.99,3,2016-03-03,299.97
female,65,france,health,drinks,7.00,2,2019-07-08,14
female,29,nigeria,appliances,lighting,100.00,2,2017-02-21,200
male,73,nigeria,computing,scanners,170.00,3,2017-06-01,510
male,58,ireland,computing,servers,250.00,9,2017-10-25,2250
female,34,nigeria,gaming,cod,45.00,9,2017-08-15,405
female,47,colombia,grocery,coffee,12.50,8,2017-06-28,100
male,19,netherland,grocery,rice,85.00,10,2016-12-08,850
female,61,france,computing,keyboards,40.00,7,2019-03-30,280
male,59,ireland,appliances,freezers,120.00,5,2019-04-08,600
female,20,colombia,grocery,water,3.00,7,2017-12-22,21
female,53,america,grocery,rice,85.00,2,2017-01-27,170
male,36,france,health,supplements,40.00,8,2016-02-04,320
female,77,spain,gaming,cod,45.00,10,2017-07-26,450
male,40,colombia,health,condoms,12.50,3,2018-09-16,37.5
male,44,france,health,perfume,90.00,7,2016-01-29,630
male,20,america,appliances,lighting,100.00,7,2018-08-14,700
